venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Ssambar,74 Calle Mayor,Madrid,,28013,,,,40.4154876,-3.7111315,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00011,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
O'Barquiño,3 Calle de la Torrecilla del Leal,Madrid,,28012,+34 915 28 25 42,http://www.mesonobarquino.es/,,40.4114924,-3.6994308,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00012,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Breaking Bar,,,,28033,,,,40.4709165,-3.6313812,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00013,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Restaurante Miño,,,,,,,,40.4763773,-3.6390134,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00014,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Alfredo's Barbacoa,11 Calle de Juan Hurtado de Mendoza,,,28036,+34 91 345 1639,https://www.alfredos-barbacoa.es/,,40.4605707,-3.6872821,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00015,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Barra de Pintxos,,,,,,,,40.5042712,-3.7059396,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00016,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar-Restaurante La Parada,,,,,,,,40.4512504,-3.5813898,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00017,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar los Arcos,,,,,,,,40.4512553,-3.5815503,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00018,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
The Glass Bar,1,,,,,,,40.4697004,-3.5884114,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00019,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Café Bar San Pablo,,,,,,,,37.3882256,-5.972532,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00020,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Cris Mar,,,,,,,,40.4700505,-3.584006,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00021,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Café bar La Banqueta,,,,,,,,37.3976001,-5.9969473,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00022,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar San Lorenzo,,,,,,,,37.3968705,-5.9967756,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00023,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Cafe Bar El Sardinero,,,,,,,,37.3969679,-5.9963185,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00024,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar El Tambarón,,,,,,,,40.4429073,-3.6521732,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00025,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Restaurante El Paleto,50 Calle del Alcalde Sáinz de Baranda,Madrid,,28009,+34 915 733 629,https://www.restauranteelpaleto.com/,,40.4164723,-3.6717472,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00026,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Barbacoa Koreana,,,,,,,,40.4300331,-3.8101422,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00027,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar restaurante la Gallega,,,,,,,,37.3932044,-6.0020184,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00028,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar El Sendero,,,,,,,,37.3931592,-6.0008792,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00029,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Café Bar Duque,,,,,,,,37.3928176,-5.9963468,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00030,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Casa Eme,5 Calle Puerta Osario,,,41003,+34 667 10 91 04,,,37.3934736,-5.9849462,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00031,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Taberna del Alabardero,,,,,,,,37.3885745,-5.9981207,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00032,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Restaurante Sevilla,Calle Marqués de Paradas,Sevilla,,,,,,37.3903131,-6.0012177,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00033,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Tomás,,,,,,,,41.3975532,2.1230797,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00034,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar la Bodega,,,,,,,,40.4411404,-3.6726938,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00035,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Café Bar Olvera,,,,,,,,37.3487144,-5.9772755,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00036,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Zurbarán,Plaza Zurbarán,Sevilla,,41003,,,,37.393757,-5.992737,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00037,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Café Bar Los Dardos,16 Calle Misericordia,Sevilla,,41003,,,,37.39433,-5.9924564,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00038,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Dueñas,,,,,,,,37.3947896,-5.9900583,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00039,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar San Juan de la Palma,,,,,,,,37.3952773,-5.991334,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00040,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Almogávares,Carrer dels Almogàvers,,,,,,,41.3962323,2.1890864,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00041,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Nuria,,,,,,,,41.3932336,2.1884994,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00042,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Postas Cervecería,,,,,+34 915 211 942,http://www.barpostas.com/,,40.4158574,-3.7059152,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00043,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Barra,,,,,,,,40.4158992,-3.7058118,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00044,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Sant Bartomeu,,,,,,,,41.3755248,2.1346488,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00045,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Pub Gris,,,,,,,,41.3772743,2.1371527,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00046,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Disco Bar Joe's,,,,,,,,41.3770927,2.1369201,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00047,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Restaurante Emaus,9 Calle del Doctor Castelo,,,,,http://www.emausrestaurante.es/,,40.4205502,-3.6783029,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00048,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
BLT - Barra Libre de Tapas,,,,,+34 646 13 80 36,https://barralibretapas.com/,,40.4709742,-3.5813432,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00049,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Lupara Bar,41 Paseo del Zurrón,,,,,,,40.4696892,-3.5857412,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00050,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Seco,,,,,,,,41.3720275,2.1671353,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00051,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Hawaiano Mauna Loa,,,,,,,,40.4143568,-3.7011949,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00052,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar La Bodega,,,,,,,,40.4013091,-3.7467303,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00053,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Quillo,,,,,,,,40.4015535,-3.7486896,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00054,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Adorado Bar Ferraz,20 Calle de Ferraz,Madrid,,28008,,https://www.adoradobar.es/,,40.4247457,-3.7157644,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00055,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Incognito Bar,6 Carrer de la Fusina,,,,,,,41.3865807,2.1836862,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00056,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Euro Bar-Tapas,Avinguda de Sant Salvador,Badalona,,,,,,41.4342324,2.2161197,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00057,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Somni d'estiu,1 Carrer d'Europa,Badalona,,,,,,41.4382361,2.2166687,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00058,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar La Caña,,,,,,,,40.4620679,-3.5905231,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00059,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Restaurante Bar Merendero Madrid,,,,,,,,40.4649008,-3.5867715,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00060,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Lobo,3 Carrer del Pintor Fortuny,,,,,,,41.3832611,2.170504,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00061,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Pub irlandés O'David's,,,,,,,,37.4072399,-5.9339436,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00062,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Geminis,173 Sardenya,,,08013,+34 932 46 51 36,,,41.3976224,2.1807778,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00063,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Juri's Bar,,,,,,,,37.3906251,-5.9912105,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00064,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
La Barbería,,,,,,,,37.3912985,-5.99113,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00065,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar La Barca,,,,,,,,40.4751735,-3.6391679,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00066,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
El Barón Rampante,,,,,,,,37.3988118,-5.9944831,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00067,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar las niñas,,,,,,,,37.3931705,-5.9808936,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00068,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Malabar,9 Plaza del Dos de Mayo,Madrid,,28004,+34 915 311 317,,,40.4266065,-3.7037757,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00069,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Terraza Bar Capote,,,,,,,,37.3872019,-6.0020058,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00070,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Corner 21,21 Avenida de la Plaza de Toros,,,28025,,,,40.3867493,-3.7397873,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00071,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Virreina Bar,,,,,,,,41.4049208,2.1575918,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00072,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Terra Bar,Plaça Virreina 5,,,,,,,41.404891,2.1569592,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00073,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Les 15 Nits Bar,3-5 Passatge de Madoz,Barcelona,,,,http://www.grupandilana.com/es/restaurantes/les-quinze-nits-restaurant,,41.3804529,2.1749778,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00074,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Travel Bar,27 Carrer de la Boqueria,,,,,,,41.381599,2.1744854,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00075,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Cerveceria Pepe 2,,,,,,,,41.3751693,2.1684846,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00076,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Mirinda,7 Carrer d'en Xuclà,Barcelona,,08001,,,,41.3830229,2.1706642,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00077,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Restaurant Angela,,,,,,,,41.4043015,2.1949428,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00078,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
La Barca d'Adrià,,Sant Adrià de Besòs,,08930,+34933563085,https://www.labarcadadria.com/,,41.4154987,2.2296372,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00079,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Santa Bárbara,Avenida de la Buhaira,Sevilla,,41018,,,,37.3829896,-5.9800671,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00080,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Guillermo,,,,,,,,37.3774863,-5.9690863,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00081,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Temple Bar,9 Carrer d'Avinyó,,,08002,,,,41.3813599,2.1763298,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00082,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Dublin Sports Bar,,,,,,,,41.3924836,2.140865,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00083,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Melina,,,,,,,,37.364113,-5.9687441,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00084,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Rodríguez,,,,,,,,37.3651263,-5.9679288,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00085,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Belmonte Bar,,,,,,,,37.386136,-5.9902287,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00086,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar El Comercio,9,,,41004,,,,37.3908103,-5.9924424,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00087,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Las Teresas,2 Calle Santa Teresa,,,41004,+34 954 21 30 69,http://www.lasteresas.es/,,37.3859772,-5.989319,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00088,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Villanueva,,,,,,,,40.3686309,-3.7588184,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00089,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Antiguo bar La flor,,,,,,,,40.4398176,-3.6759909,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00090,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Barceloneta,22 Carrer de l'Escar,,,08039,+34932212111,https://restaurantbarceloneta.com/,,41.3758,2.1874945,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00091,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Agapito,,,,,,,,41.4422431,2.213545,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00092,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Cafetería Oscar Lan,39 Avenida de Eduardo Dato,,,41018,+34 954536260,,,37.3840304,-5.9778177,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00093,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Pirineus 1935 Bar & Cuina,244 Carrer de Bailen,Barcelona,,08037,,,,41.4037112,2.1620046,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00094,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Mercado Provenzal,,,,,,http://www.mercadoprovenzal.com/,,37.3935958,-5.9924884,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00095,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
El barco de Aparicio,,,,,,,,40.4458239,-3.8017917,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00096,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Pinotxo bar,,,,,+34933171731,https://pinotxobar.com/,,41.3785744,2.1614917,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00097,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar la Esquina Latina,,,,,,,,40.4733208,-3.6508642,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00098,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Casa Diego,29 Avenida Santa Cecilia,Sevilla,,41010,+34954330609,,,37.3834657,-6.0103252,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00099,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Restaurante Petit Marc,,,,,,,,41.4898909,2.1862509,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00100,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Viriato Gastrobar,,,,,,,,37.3953691,-5.9915658,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00101,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Public,,,,,,,,41.3512244,2.0855221,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00102,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Teo,Diagonal,,,,,,,41.393729,2.149521,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00103,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
